production_id,name,obra_title,obra_id,productora_name,synopsis,direction,theater,address,barrio,ciudad_partido,localidad,provincia,start_date,end_date,image_id,image_url,instagram,website,source,is_new
205,Justo en lo mejor de mi vida,Justo en lo mejor de mi vida,85411,,,,EL VITRAL,Rodriguez Peña 344,,Capital Federal,Capital Federal,Buenos Aires,,,194,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/45/000312245.jpg,,https://alternativateatral.com/obra85411-justo-en-lo-mejor-de-mi-vida,alternativateatral_api,true
206,La isla,La isla,85478,,,,TEATRO PAYRÓ,San Martin 766,,Capital Federal,Capital Federal,Buenos Aires,,,195,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/35/000270835.jpg,,https://alternativateatral.com/obra85478-la-isla,alternativateatral_api,true
207,¿Qué somos?,¿Qué somos?,85517,,,,TEATRO LA CASONA,Corrientes 1975,,Capital Federal,Capital Federal,Buenos Aires,,,196,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/69/000309569.jpg,,https://alternativateatral.com/obra85517-que-somos,alternativateatral_api,true
208,Ellxs,Ellxs,85554,,,,CENTRO CULTURAL VIEJO ALMACEN EL OBRERO,Av 13 1900 esquina 71,,La Plata,La Plata,Buenos Aires,,,197,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/73/000270873.jpg,,https://alternativateatral.com/obra85554-ellxs,alternativateatral_api,true
209,"Tercer cordón del conurbano, una tragedia Marrón","Tercer cordón del conurbano, una tragedia Marrón",85583,,,,BECKETT TEATRO,Guardia Vieja 3556,,Capital Federal,Capital Federal,Buenos Aires,,,198,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/50/000276450.jpg,,https://alternativateatral.com/obra85583-tercer-cordon-del-conurbano-una-tragedia-marron,alternativateatral_api,true
210,La memoria futura,La memoria futura,85628,,,,PARQUE DE LA MEMORIA,Av. Costanera Norte Rafael Obligado (junto a Ciudad Universitaria),,Capital Federal,Capital Federal,Buenos Aires,,,199,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/24/000271124.jpg,,https://alternativateatral.com/obra85628-la-memoria-futura,alternativateatral_api,true
211,Ella y Mariluz,Ella y Mariluz,85659,,,,BABIA,Enrique Del Valle Iberlucea 4092,,Remedios de Escalada,Remedios de Escalada,Buenos Aires,,,200,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/47/000298347.jpg,,https://alternativateatral.com/obra85659-ella-y-mariluz,alternativateatral_api,true
212,Un enfermo imaginario,Un enfermo imaginario,85735,,,,MUSEO LARRETA,Av Juramento 2291,,Capital Federal,Capital Federal,Buenos Aires,,,201,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/18/000304818.jpg,,https://alternativateatral.com/obra85735-un-enfermo-imaginario,alternativateatral_api,true
213,Una Casa en Biarritz,Una Casa en Biarritz,85882,,,,ESPACIO BIARRITZ,Biarritz 2334,Villa Del Parque,CABA,Villa Del Parque - CABA,CABA,,,202,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/63/000294363.jpg,,https://alternativateatral.com/obra85882-una-casa-en-biarritz,alternativateatral_api,true
214,Siete / Civale - Gallego,Siete / Civale - Gallego,85901,,,,ENTELAR ESPACIO,Marengo 3294,,San Andrés,San Andrés,Buenos Aires,,,203,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/19/000302419.jpg,,https://alternativateatral.com/obra85901-siete-civale-gallego,alternativateatral_api,true
215,Janequeo,Janequeo,85924,,,,EL GRITO,Costa Rica 5459,,Capital Federal,Capital Federal,Buenos Aires,,,204,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/23/000312023.jpg,,https://alternativateatral.com/obra85924-janequeo,alternativateatral_api,true
216,No me muero,No me muero,86240,,,,MOSCÚ TEATRO,Ramirez de Velasco 535,,Capital Federal,Capital Federal,Buenos Aires,,,205,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/78/000280378.jpg,,https://alternativateatral.com/obra86240-no-me-muero,alternativateatral_api,true
217,El David marrón,El David marrón,86467,,,,DUMONT 4040,Santos Dumont 4040,,Capital Federal,Capital Federal,Buenos Aires,,,206,https://img.alternativateatral.com/scripts/es/fotos/obras/resumen/63/000309663.jpg,,https://alternativateatral.com/obra86467-el-david-marron,alternativateatral_api,true
